"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","Проверка ответа на вопрос №8","tests","Wed Mar 19 17:26:41 MSK 2025","passed","Wed Mar 19 17:26:41 MSK 2025","","test_questions","",""
"Проверка редиректа на главную страницу через логотип Самоката","223","Переход через логотип Самоката","tests","Wed Mar 19 17:25:26 MSK 2025","passed","Wed Mar 19 17:25:26 MSK 2025","TestLogoNavigation","test_navigation","",""
"","238","Проверка ответа на вопрос №2","tests","Wed Mar 19 17:26:02 MSK 2025","passed","Wed Mar 19 17:26:02 MSK 2025","","test_questions","",""
"Проверка полного цикла оформления через header кнопку","3530","Оформление заказа через header","tests","Wed Mar 19 17:25:43 MSK 2025","passed","Wed Mar 19 17:25:47 MSK 2025","","test_orders","",""
"","249","Проверка ответа на вопрос №6","tests","Wed Mar 19 17:26:28 MSK 2025","passed","Wed Mar 19 17:26:28 MSK 2025","","test_questions","",""
"Проверка открытия новой вкладки с Дзеном через логотип Яндекса","3082","Переход через логотип Яндекса","tests","Wed Mar 19 17:25:32 MSK 2025","passed","Wed Mar 19 17:25:35 MSK 2025","TestLogoNavigation","test_navigation","",""
"","242","Проверка ответа на вопрос №7","tests","Wed Mar 19 17:26:34 MSK 2025","passed","Wed Mar 19 17:26:34 MSK 2025","","test_questions","",""
"","238","Проверка ответа на вопрос №4","tests","Wed Mar 19 17:26:15 MSK 2025","passed","Wed Mar 19 17:26:15 MSK 2025","","test_questions","",""
"","242","Проверка ответа на вопрос №3","tests","Wed Mar 19 17:26:08 MSK 2025","passed","Wed Mar 19 17:26:09 MSK 2025","","test_questions","",""
"","255","Проверка ответа на вопрос №5","tests","Wed Mar 19 17:26:21 MSK 2025","passed","Wed Mar 19 17:26:21 MSK 2025","","test_questions","",""
"","236","Проверка ответа на вопрос №1","tests","Wed Mar 19 17:25:54 MSK 2025","passed","Wed Mar 19 17:25:54 MSK 2025","","test_questions","",""
